Fecha,EVENTO,A/C,ENCABEZADO EVENTO,Minutos
2024-07-21,69054,Avión 20,BOTELLA 02 SOBRECARGO CADUCADA,20
2021-11-14,21649,Avión 4,CAMBIO ASIENTO CM1,20
2023-07-02,48896,Avión 11,CARGA COMBUSTIBLE,20
2024-02-13,60511,Avión 31,CARGA DE OXÍGENO,20
2024-05-19,65356,Avión 2,CARGA O2 Y CAMBIO PACK FRENOS,20
2024-05-28,65860,Avión 1,CARGA POR VARILLA,20
2024-01-11,58954,Avión 38,CARGA POR VARILLA 2200,20
2024-03-06,61643,Avión 10,CARGA POR VARILLAS,20
2021-09-26,19161,Avión 2,CARGO DOOR CAN NOT BE CLOSED,20
2024-04-29,64212,Avión 14,CHARCO BAJO EL AC,20
2021-06-29,15673,Avión 32,CINTA BODEGA SUELTA,20
2023-03-11,43106,Avión 15,COCKPIT DOOR CONTROL PANEL EMERGENCY ENTRY PUSH BUTTON INOP,20
2019-11-15,5565,Avión 10,CREW AVISA 0637,20
2019-10-31,5294,Avión 10,CREW AVISA 1018,20
2020-01-23,6844,Avión 20,CREW AVISA 1337,20
2022-12-06,38827,Avión 38,CREW QUERY - OPERATIONAL,20
2023-02-09,41773,Avión 7,CREW QUERY - OPERATIONAL,20
2024-05-18,65305,Avión 38,DETECTOR LAVABO TRASERO INOPERATIVO,20
2023-05-25,46966,Avión 8,DIFERIDO NO AMPLIABLE,20
2022-12-15,39287,Avión 24,DOS LINTERNAS INOP,20
2022-06-04,29943,Avión 2,DUAL GPS FAILURE,20
2023-02-21,42283,Avión 11,DUDA MEL CREW,20
2021-08-14,17545,Avión 16,DUDAS DIFERIDO,20
2023-07-01,48872,Avión 6,EN EL POWER UP SALTA SHORT DISP. FUEL OIL HEATER VLV,20
2023-09-09,52687,Avión 28,ESCALON DE PTA DE PASAJE NO SUBE CORRECTAMENTE,20
2018-12-10,391,Avión 3,EVENT FOR A NETLINE DELAY  CANCELLATION,20
2018-12-22,448,Avión 23,EVENT FOR A NETLINE DELAY  CANCELLATION,20
2022-07-11,31653,Avión 3,EVENT FOR A NETLINE DELAY  CANCELLATION,20
2022-10-08,36057,Avión 31,EXHAUST MODE FAULT DUE TO AFT SMOKE INOP,20
2023-02-13,41961,Avión 7,EXPIRED DATA BASE,20
2023-08-19,51579,Avión 28,FALLO EN PITOT,20
2024-06-24,67464,Avión 47,FALLO EN PUESTA EN MARCHA,20
2024-05-11,64934,Avión 25,FALLO STARTER MOTOR 2,20
2022-07-11,31646,Avión 22,FINDING NRC TASKCARD LINE CHECK - NOCOM 01  ITEM 1,20
2022-10-07,36007,Avión 13,FOUND DC GEN 2 FAULT AFTER START-UP,20
2023-10-12,54474,Avión 10,FUEL UMBALANCE,20
2024-06-27,67655,Avión 1,FUEL UNBALANCED,20
2024-03-22,62397,Avión 18,GANCHOS DE CORTINA BODEGA DELANTERA FALTAN GANCHOS,20
2024-03-12,61941,Avión 25,GEN 1 FALLA,20
2022-10-09,36105,Avión 14,HYD LEAK,20
2022-08-24,33875,Avión 16,HYDRAULIC LEAK BY HOSE OF BRAKE 3,20
2024-04-26,64058,Avión 39,INTERFONO SOBRECARGO NO FUNCIONA,20
2021-08-19,17729,Avión 2,KIT COVID DESPRECINTADO Y NUEVO ATL,20
2018-08-24,91,Avión 31,LATE RELEASE FROM SCH MAINT - TECHNICAL,20
2021-02-03,12738,Avión 20,LATE RELEASE FROM SCH MAINT - TECHNICAL,20
2020-09-19,10278,Avión 28,LATE RELEASE FROM SCH MAINT - TECHNICAL,20
2022-11-16,37853,Avión 22,LATE RELEASE FROM SCH MAINT - TECHNICAL,20
2024-04-26,64093,Avión 1,LC,20
2024-05-10,64857,Avión 20,LC  2 FINDING CAMBIO RUEDA,20
2022-08-21,33724,Avión 16,LEFT LANDING LIGHT APPARENTLY US,20
2021-12-26,23611,Avión 15,LH FORWARD OVERWING EMERGENCY EXIT SIGN IS MISSING,20
2023-05-03,45847,Avión 21,LT BEACON FAULT LOWER.,20
2023-12-02,56983,Avión 28,MANCHA DE ACEITE,20
2023-12-15,57636,Avión 28,MANCHA EN TREN,20
2022-02-27,25909,Avión 21,MEDICION COMBUSTIBLE,20
2023-05-15,46444,Avión 21,MEDICION VARILLA,20
2022-12-08,39352,Avión 21,MEDICION VARILLAS,20
2022-12-11,39355,Avión 21,MEDICION VARILLAS,20
2023-09-22,53415,Avión 10,MESA SOBRECARGO,20
2022-06-30,31115,Avión 32,MTTO PROGRAMADO,20
2022-08-14,33399,Avión 22,NAV 2 FAIL DURING THE APP ILS ON GROUND SIGNAL,20
2023-08-02,50625,Avión 17,NAV 2 OVHT,20
2024-05-20,65414,Avión 35,NIVEL BAJO HYD AZUL,20
2023-12-07,57232,Avión 14,NIVEL HYD BAJO,20
2021-09-02,18267,Avión 4,NO INFO,20
2021-09-16,18781,Avión 12,NO INFO,20
2023-03-13,43342,Avión 14,NO INFO,20
2023-03-17,43458,Avión 19,NO INFO,20
2023-05-26,47036,Avión 4,OBSERVER SEAT US,20
2022-10-21,36667,Avión 35,OCM 1200,20
2018-08-25,100,Avión 7,OTHERS  NOT SPECIFIED - OPERATIONAL,20
2022-10-25,36901,Avión 25,OVERSPEED FLAP,20
2023-12-01,56929,Avión 18,OXYGEN MASK CM1,20
2021-04-13,13893,Avión 7,OXYGEN MASK FO DOESNT WORK,20
2021-11-04,21187,Avión 24,PACK 2 INOP,20
2022-04-22,28235,Avión 34,PEC 1 FAULT,20
2024-01-08,58804,Avión 8,PÉRDIDA DE ACEITE M1,20
2023-06-21,48290,Avión 13,PÉRDIDA DE COMBUSTIBLE EN TANQUE DERECHO,20
2021-07-03,15867,Avión 3,PILOT REPORT - BLEED LEAK ENG N2,20
2021-08-02,17041,Avión 25,PILOT REPORT - ENG1 TORQUE INDICATION,20
2020-12-04,11760,Avión 2,PILOT REPORT - OPERATIONAL,20
2022-09-28,35535,Avión 11,PILOT REPORT - OPERATIONAL,20
2018-10-23,199,Avión 19,PILOT REPORT - OPERATIONAL,20
2023-11-07,55776,Avión 37,PIN BARRA PUERTA CARGA DOBLADO,20
2023-08-20,51616,Avión 41,PITOT PROP. HEATING DEL A,20
2023-05-17,46557,Avión 36,POSSIBLE OIL LEAK,20
2023-07-15,49602,Avión 19,PROBLEMA CON LA BASE DE DATOS,20
2023-08-29,52140,Avión 39,PROBLEMA CON LAS VOCES DE LAS TCP,20
2023-04-15,44892,Avión 7,PROBLEMA CON MESILLA Y TRIP ANTERIOR NO AVISA,20
2021-12-01,22441,Avión 32,PROBLEMAS PRESURIZACION,20
2018-09-26,154,Avión 16,PTV 28848  ITEMS 1-2-3-4,20
2023-06-12,47837,Avión 38,PTV-FILA 10 RACK ROTO WP BBDD,20
2021-12-24,23557,Avión 14,PUERTA DE BODEGA NO CIERRAABRE,20
2023-11-25,56634,Avión 18,PUNTO EN ATL DE LA NOCHE SIN LEVANTAR,20
2024-05-29,65885,Avión 14,RAC TOTALMENTE CAIDO,20
2024-03-15,62062,Avión 36,REEVALUACIÓN DE DAÑOS A PETICIÓN DE PRODUCCIÓN,20
2023-12-04,57078,Avión 31,RUDDER TRIM,20
2024-06-14,66860,Avión 38,RUIDOS ANORMALES EN AMORTIGUADOR RUEDA DE MORRO,20
2022-07-23,32238,Avión 1,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,20
2022-07-05,31397,Avión 20,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,20
2023-05-31,47216,Avión 22,SIN PTV Y PIEZAS AOG,20
2024-07-15,68715,Avión 35,SOLICITA MANTENIMIENTO A LA LLEGADA,20
2024-04-11,63377,Avión 10,SOLICITA MTTO CON MOTORES ARRANCADOS,20
2019-06-27,2792,Avión 2,SOLICITAN MTTO,20
2019-12-26,6380,Avión 15,SOLICITAN MTTO,20
2019-07-02,2906,Avión 31,SOLICITAN MTTO,20
2019-03-31,1293,Avión 25,SOLICITAN MTTO,20
2023-07-27,50270,Avión 13,SOLICITAN MTTO POR PROBLEMAS ELECTRICOS,20
2019-10-13,4971,Avión 10,SOLICTAN MTTO STARTER,20
2022-08-09,33120,Avión 20,STRONG VIBRATIONS ON CABIN,20
2023-06-08,47629,Avión 35,SUNVISOR  NAMS,20
2023-04-10,44667,Avión 7,TAIL BEACON US,20
2024-03-22,62393,Avión 35,TAIL STRIKE,20
2021-11-24,22141,Avión 20,TERR FAULT,20
2022-03-05,26154,Avión 8,THE LAVATORY SMOKE DETECTION,20
2023-06-07,47573,Avión 10,TLU FAULT,20
2019-05-30,2303,Avión 3,TRABAJOS PROGRAMADOS,20
2019-11-05,5394,Avión 14,VARIAS ANOTACIONES-PEN  INFO,20
2022-01-05,23978,Avión 22,WINDSHIELD HEATING SYSTEM INOP LEFT SIDE,20
2023-01-23,41001,Avión 7,WP CAMBIO DE MOTOR,20
2020-12-28,12121,Avión 12,2532,20
2020-12-17,11973,Avión 18,452481,20
2021-01-29,12636,Avión 16,459251,20
2022-09-25,35394,Avión 31,631621,20
2020-01-31,6979,Avión 17,902971,20
2020-01-07,6572,Avión 19,909541,20
2020-03-01,7476,Avión 8,927461,20
2020-11-16,11369,Avión 19,971181,20
2022-08-11,33257,Avión 1,1152261,20
2022-09-19,35091,Avión 17,1162391,20
2020-08-01,9237,Avión 2,5959701,20
,420,,-,20
,736,,-,20
,772,,-,20
,10722,,-,20
,14686,,-,20
,16261,,-,20
,17278,,-,20
,17892,,-,20
,23521,,-,20
,32576,,-,20
,53161,,-,20
,61008,,-,20
2022-10-13,36305,Avión 1,2PTV CHECK NLGWINDSHIELD HEATING LIGHT,19
2021-08-13,17512,Avión 14,3 PUNTOS PTV,19
2020-01-09,6616,Avión 6,00031D1 LUZ PARKING ON INOP,19
2020-08-06,9337,Avión 6,01124D1,19
2020-07-31,9218,Avión 16,42957D1,19
2019-12-17,6201,Avión 8,AC SOLICITA MTTO,19
2020-01-07,6576,Avión 2,AC SOLICITA MTTO,19
2023-11-21,56444,Avión 38,ACUMULADOR DE HYD BAJO,19
2023-06-01,47284,Avión 18,ADSB FAULT,19
2020-03-15,7714,Avión 13,AIRCRAFT DOCUMENTATION PROBLEM - OPERATIONAL,19
2022-12-23,39717,Avión 34,AISLE CARPETLIFE VEST BAG BROKEN,19
2023-08-11,51147,Avión 34,AMPLIAR DIFERIDO PBE PUERTA PASAJE,19
2021-08-07,17280,Avión 10,ATPCS TEST SPRING,19
2023-12-10,57392,Avión 3,AUTOPRESS FAULT,19
2024-06-25,67534,Avión 38,AVIONICS SINGLE SWITCH,19
2021-11-04,21151,Avión 20,BATTERY SWTICH ON AND AIRCRAFT NOT ENERGIZED,19
2022-08-05,32915,Avión 11,BOTELLA DE OXIGENO,19
2022-08-07,33017,Avión 23,BRK TEMP HOT.,19
2024-02-14,60591,Avión 38,CARGA POR VARILLA,19
2024-06-23,67406,Avión 10,CARGA POR VARILLA 2.3,19
2021-10-21,20503,Avión 1,CARGO DOOR UNABLE TO OPEN,19
2019-10-20,5093,Avión 14,CASCOS QUE ESTABAN PEND DEL VUELO 309,19
2023-05-17,46556,Avión 16,CHECK NOSE LANDING GEAR TYRES,19
2022-07-27,32461,Avión 8,CHECK WHEEL,19
2023-03-02,42675,Avión 13,CHEQUEAR EL GUST LOCK,19
2024-05-21,65505,Avión 32,CHEQUEO NIVEL HYD,19
2022-12-30,40011,Avión 37,CIERRE PUERTA DE BODEGA Y EMBELECEDOR SWITCH,19
2021-09-01,18220,Avión 24,CRACK IS FOUND IN THE LEFT MLG DOOR,19
2019-10-01,4722,Avión 25,CREW AVISA 0623Z,19
2020-07-09,8822,Avión 31,CREW AVISA A LAS 0651Z,19
2020-07-31,9214,Avión 7,CREW QUERY - OPERATIONAL,19
2022-09-04,34404,Avión 23,CREW QUERY - OPERATIONAL,19
2019-06-20,2654,Avión 19,CREW SOLICITA MTTO A LAS  1335Z,19
2023-11-17,56251,Avión 2,DEPOSITO DE AGUAS GRISES NO CIERRA BIEN,19
2023-01-24,41058,Avión 32,DOOR 2L ASSIST HANDLE BROKEN,19
2023-03-29,44040,Avión 1,DUS TEMP HI IN FLIGHT,19
2024-04-26,64087,Avión 2,ESCALON ABATIBLE DE PUERTA DE PASAJE,19
2024-04-30,64397,Avión 44,EVENT WITHOUT INFORMATION - OPERATIONAL,19
2023-06-14,47957,Avión 1,EXTRACTION FAN,19
2023-06-28,48691,Avión 34,FALLO ACWILD 1 EN DESPEGUE,19
2024-03-11,61867,Avión 4,FALLO GPS 2  XPDR 1,19
2024-05-07,64670,Avión 7,FLAP JUMP HA SALTADO EN VUELO,19
2024-07-02,67961,Avión 1,FRENOS RUEDA N2  WEATHER RADAR SELECTORES,19
2021-07-15,16328,Avión 20,FUEL LEVEL CHECK,19
2023-03-01,42611,Avión 14,GOTEO A LA ALTURA DEL FUSELAJE,19
2024-07-16,68749,Avión 41,GPS DEL CM1 NO FUNCIONA,19
2022-07-30,32591,Avión 16,HIGH FLOW PB US,19
2021-09-23,19030,Avión 32,HYD 3 PUMP A FAIL2 ON EICAS,19
2024-02-14,60559,Avión 38,INDICAN PROBLEMAS CON EL SENSOR DE COMBUSTIBLE,19
2024-03-21,62355,Avión 1,INTERFONO INOP,19
2024-02-26,61158,Avión 34,LC,19
2019-05-19,2117,Avión 31,LIMITACION  VÁVULAS DE COMBUSTIBLE NO ABREN EN AUTOMÁTICO,19
2024-03-02,61425,Avión 2,LONA DE BODEGA DE ATRAS ES MUY PEQUEÑA,19
2021-03-04,13203,Avión 2,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,19
2022-12-24,39759,Avión 31,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,19
2024-04-13,63492,Avión 10,MEDICION CARGA POR VARILLA,19
2022-10-11,36207,Avión 11,METAL PORT APPEARS HANGING FRONT DRAIN HOLE ENG.2,19
2023-07-19,49831,Avión 10,MTTO SIN MÁS INFORMACIÓN,19
2022-07-21,32162,Avión 15,NO INFO,19
2023-11-11,55967,Avión 36,PACK INOP,19
2021-07-01,15771,Avión 6,PILOT REPORT - FUEL CONTROL FAULT ON EICAS,19
2021-07-11,16160,Avión 1,PILOT REPORT - IDLE GATE,19
2022-08-13,33354,Avión 4,PILOT REPORT - OPERATIONAL,19
2020-07-20,8993,Avión 20,PILOT REPORT - OPERATIONAL,19
2022-12-01,38576,Avión 37,PILOT REPORT - OPERATIONAL,19
2024-06-21,67306,Avión 3,PILOTO REPORTA MASCARILLA CM1 NO HACE TEST,19
2023-10-16,54687,Avión 8,POP UP HYD GREEN,19
2021-10-02,19430,Avión 2,PROBLEMA CON PUERTA,19
2024-05-26,65708,Avión 37,PROBLEMAS CON INTERFONO TCP1,19
2023-08-31,52236,Avión 7,PROBLEMAS CON MOTOR,19
2019-07-21,3268,Avión 3,PROBLEMAS FMS,19
2021-06-25,15632,Avión 13,PROBLEMAS PARA METER DATOS EN EL ORDENADOR A BORDO,19
2022-09-05,34426,Avión 3,PTVEXTERIOR EMER LIGHT US,19
2023-07-29,50395,Avión 34,PUERTA PASAJE,19
2023-02-11,41873,Avión 2,RADAR DOESNT WORK CORRECTLY WEATHER RADAR CONTROLLER,19
2024-02-27,61213,Avión 28,RED DELANTERA DE LA BODEGA TRASERA GANCHO ROTO,19
2023-10-01,53872,Avión 22,REPOSABRAZOS 10C,19
2024-06-19,67197,Avión 1,REPOSTAJE- NECESIDAD DE CARGA CON VARILA,19
2024-06-19,67201,Avión 10,REPOSTAJE-NECESIDAD DE CARGA CON VARILLA,19
2022-09-20,35153,Avión 28,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,19
2019-02-23,771,Avión 10,SOLICITA MTTO,19
2024-07-08,68305,Avión 41,SOLICITAN MANTENIMIENTO. PACK 1 FAULT,19
2023-01-16,40718,Avión 14,T.O. INHB ANNOUNCERALERT LIGHT DOESNT APPEAR,19
2023-12-27,58232,Avión 20,TCP2 HANDSET INOP,19
2022-11-05,37380,Avión 23,WHISTLE FROM SERVICE DOOR,19
2019-12-09,6060,Avión 13,396021,19
2021-02-11,12868,Avión 23,461551,19
2020-06-01,8330,Avión 2,938481,19
2020-12-08,11826,Avión 1,975291,19
2021-03-30,13662,Avión 1,990241,19
2021-05-25,14760,Avión 28,1018221,19
,975,,-,19
,1815,,-,19
,6488,,-,19
,6691,,-,19
,15206,,-,19
2023-02-10,41846,Avión 11,2PTV CORTINA Y GPU DOOR,18
2019-06-24,2754,Avión 23,AC SOLICITA MTTO,18
2019-07-03,2926,Avión 10,AC SOLICITA MTTO,18
2024-02-02,60018,Avión 34,ACUMULADOR NO AGUANTA PRESIÓN,18
2023-05-18,46582,Avión 18,AILERON LIGHT LOCK,18
2023-06-17,48126,Avión 11,ANOTACION EN PTV DE TELEFONILLO DE LA SOBRECARGO,18
2022-10-27,36995,Avión 13,ARMREST SEAT 14-C BROKEN,18
2019-07-15,3151,Avión 1,ATASCO BAÑO,18
2023-10-05,54082,Avión 39,BASE DE DATOS  NAV DATABASE OUT OF DATE,18
2023-08-22,51711,Avión 40,BLEED 2 OVERHEAD,18
2024-06-14,66850,Avión 10,CARGA POR VARILLA,18
2023-12-17,57707,Avión 38,CARGA POR VARILLA,18
2023-07-09,49281,Avión 3,CHECK DUMPER NOSE LANDING GEAR,18
2021-12-10,22935,Avión 28,CHECK STATUS BREAK STICK WHEEL 3,18
2022-10-16,36465,Avión 21,CHEQUEO VARILLAS,18
2023-08-10,51086,Avión 37,CMDTE SOLICITA QUE TMA DE ACE LE LLAME POR RUIDO TURBINA,18
2024-05-07,64657,Avión 2,CONSULTA SOBRE ANOTACIONES ANTIGUAS,18
2024-05-28,65820,Avión 22,CONSULTA SOBRE RUEDAS,18
2019-12-21,6269,Avión 8,CREW AVISA 0636,18
2022-10-04,35838,Avión 37,CREW NO PUEDE ABRIR LA PUERTA DE PASAJE,18
2022-12-04,38741,Avión 10,CREW QUERY - OPERATIONAL,18
2023-01-27,41203,Avión 21,CREW QUERY - OPERATIONAL,18
2023-02-24,42410,Avión 16,CREW QUERY - OPERATIONAL,18
2020-06-22,8562,Avión 10,CREW SOLICITA MTTO A LAS 0537Z,18
2019-06-15,2563,Avión 10,CREW SOLICITA MTTO A LAS 1240Z,18
2023-04-07,44500,Avión 17,DELAY EVENT FOR AC MSJ,18
2023-06-04,47424,Avión 17,DISTURBING BACKGROUND NOISE 3 POSITIONS,18
2023-03-18,43430,Avión 18,DUDA SOBRE UN DIFERIDO,18
2022-11-05,37379,Avión 18,EMERGENCY LOC TRANSMITTER INOP,18
2023-05-29,47148,Avión 6,EMERPRKG BRAKE FAULT,18
2023-05-09,46154,Avión 4,ENG FIRE ENG 1 WARNING,18
2021-06-09,15076,Avión 6,ENG2 FEED LOW PRESS,18
2022-09-07,34602,Avión 36,EVENT FOR A NETLINE DELAY  CANCELLATION,18
2022-09-26,35474,Avión 24,EVENT FOR A NETLINE DELAY  CANCELLATION,18
2024-06-10,66647,Avión 7,EVENT WITHOUT INFORMATION - OPERATIONAL,18
2024-07-22,69138,Avión 25,EVENT WITHOUT INFORMATION - OPERATIONAL,18
2024-04-02,62900,Avión 34,EXTINTOR DE AGUA INOPERATIVO,18
2024-02-23,61010,Avión 28,FECHA CADUCIDAD BORRADA BOTELLA DE OXIGENO,18
2021-11-08,21359,Avión 14,FUEL CLOG ENG 2,18
2024-05-27,65793,Avión 1,FUEL UNBALANCE,18
2021-10-02,19437,Avión 4,FWD CARGO DOOR STRUT BROKEN,18
2021-11-24,22129,Avión 1,GPS 1 FAULT,18
2021-04-08,13805,Avión 17,HYDRAULIC PRESSURE CHECK,18
2022-10-16,36472,Avión 37,INFORME AERONAVE DESACTUALIZADO,18
2023-07-03,48940,Avión 10,LC  CAMBIO DE RUEDA,18
2023-05-27,47063,Avión 35,LC NO TIME,18
2020-03-13,7693,Avión 19,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,18
2020-07-29,9169,Avión 2,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,18
2021-02-04,12746,Avión 11,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,18
2020-06-12,8445,Avión 6,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,18
2020-12-04,11745,Avión 18,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,18
2021-03-17,13415,Avión 1,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,18
2024-07-05,68134,Avión 1,MASCARA DE OXIGENO DE CM1 INOPERATIVA,18
2023-04-16,44944,Avión 2,MASCARA OXIGENO,18
2023-04-03,44320,Avión 24,MASK OXY,18
2022-11-25,38307,Avión 16,MEDICION DE VARILLA,18
2022-11-25,38304,Avión 16,MEDICION POR VARILLA,18
2024-04-29,64203,Avión 28,NECESIDAD DE CAMBIO DE 2 RUEDAS,18
2021-05-29,14827,Avión 1,NLG SHOCJ ABSORBER TOO LOW,18
2021-08-19,17766,Avión 22,NO INFO,18
2022-04-10,27741,Avión 25,NO INFO,18
2020-12-13,11910,Avión 25,NO MAINTENANCE ACTION - OPERATIONAL,18
2022-01-14,24326,Avión 18,ON GROUND GROUND CROSS FEED DOESNT CLOSE,18
2024-06-15,66944,Avión 39,PCU FILAS 0-4 HACE MUCHO RUIDO RUIDO EN CABINA PASAJE,18
2021-07-12,16195,Avión 28,PILOT REPORT - ENG1 HIGH FUEL TEMP,18
2022-07-15,31823,Avión 31,PILOT REPORT - OPERATIONAL,18
2020-07-07,8799,Avión 8,PILOT REPORT - OPERATIONAL,18
2023-05-25,46956,Avión 4,PN WRONG INSTALLED,18
2023-09-30,53795,Avión 23,POP OUT HIDRAULICO,18
2023-12-04,57087,Avión 17,PROBLEMA CON HYD,18
2024-05-23,65557,Avión 36,PROBLEMA DE PACK,18
2024-01-23,59572,Avión 35,PROBLEMAS CON TRANSPONDER,18
2022-08-29,34095,Avión 28,PTV MEDIAS LUCES E INTERFONO,18
2019-09-13,4409,Avión 23,RACK PARTIDO,18
2022-01-09,24100,Avión 22,REFUELLING PROBLEM,18
2023-11-29,56830,Avión 21,REPORTE DE PÉRDIDA DE ACEITE EN MOTOR IZQ,18
2023-04-03,44319,Avión 8,REPOSABRAZOS,18
2023-06-29,48767,Avión 8,RUIDO EN PARTE TRASERA DEL AVIÓN,18
2024-04-03,62963,Avión 15,SALTA FALLO FUEL CONTROL FAULT,18
2023-03-08,42954,Avión 23,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,18
2022-06-29,31078,Avión 10,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,18
2023-03-27,43940,Avión 20,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,18
2024-06-24,67491,Avión 19,SOLICITA MTTO A SU LLEGADA POR RAC ROTO,18
2024-04-07,63166,Avión 25,SOLICITA MTTO SIN MAS INFO,18
2023-10-08,54259,Avión 22,SOLICITAN MTTO POR MANCHAS DE ACEITE EN EL SUELO,18
2019-11-20,5669,Avión 4,SOLICITAN MTTO-PA DELANTERO,18
2023-10-22,54976,Avión 17,SOLITAN MTTO PARA UNA CONSULTA,18
2024-06-06,66344,Avión 8,TCAS FAIL,18
2023-06-04,47420,Avión 16,TEST OF THE CABIN DOOR,18
2022-11-30,38551,Avión 20,TLU FAULT ON APPROACH,18
2019-11-21,5680,Avión 3,TRABAJOS PROGRAMADOS,18
2022-03-05,26166,Avión 12,TRABAJOS PROGRAMADOS,18
2024-04-09,63255,Avión 8,WING LIGHT LH EN MAL ESTADO,18
2022-09-05,34418,Avión 20,WPDWPWRLCFWD CARGO DOOR INSP,18
2024-04-11,63403,Avión 11,YAW DUMPER Y AUTOPILOT INOP,18
,894,,-,18
,1269,,-,18
,9733,,-,18
,10197,,-,18
,15912,,-,18
,19274,,-,18
,64071,,-,18
2020-07-23,9033,Avión 6,00810D1,17
2021-05-20,14623,Avión 12,01765-01,17
2020-11-09,11245,Avión 23,37494D1,17
2022-08-25,33947,Avión 4,115154D1,17
2019-12-20,6263,Avión 22,AC SOLICITA MTTO,17
2020-01-21,6815,Avión 20,AC SOLICITA MTTO,17
2020-01-23,6847,Avión 13,AC SOLICITA MTTO,17
2019-07-09,3021,Avión 4,AC SOLICITA MTTO,17
2019-08-03,3580,Avión 4,AC SOLICITA MTTO,17
2021-08-08,17302,Avión 22,AILERON TRIM SWITCH,17
2023-11-09,55870,Avión 3,AIR FRAME AIR BLEED ENG2 Y GANCHO BODEGA TRASERA RED ROTO,17
2023-01-08,40380,Avión 8,ALTA TEMPERATURA EN CABINA,17
2024-04-25,64038,Avión 39,ATLANTICA INFORMA DE POSIBLES PROBLEMAS,17
2023-03-28,43994,Avión 16,BAÑO ATASCADO POR GAFAS,17
2022-10-30,37131,Avión 12,BIRD STRIKE DURING LANDING,17
2024-04-05,63189,Avión 10,CARGA POR VARILLA,17
2024-04-07,63221,Avión 10,CARGA POR VARILLA,17
2024-05-13,65006,Avión 32,CARGAR AGUA DE SERVICIO,17
2021-10-23,20609,Avión 1,CARGO DOOR UNABLE TO OPEN,17
2022-11-21,38120,Avión 6,CAUTION ENGINE 2 NO DISPATCH,17
2022-09-29,35603,Avión 35,CHECK N1 AND 2 GEAR TYRES STATUS,17
2024-02-29,61367,Avión 14,CHEQUEAR RUEDA,17
2023-04-22,45256,Avión 23,CINTURON SEGURIDAD Y STARTER,17
2024-04-26,64060,Avión 34,CONSULTA EN P26,17
2022-10-07,36039,Avión 14,CONSULTA Y ATL NUEVO,17
2019-09-02,4222,Avión 13,CREW AVISA A LAS 106Z,17
2019-08-07,3671,Avión 23,CREW AVISA A LAS 0711Z,17
2020-07-01,8689,Avión 19,CREW AVISA A LAS 0811Z,17
2023-02-05,41612,Avión 18,CREW QUERY - OPERATIONAL,17
2019-12-25,6349,Avión 2,CRWE AVISA 0642,17
2023-11-01,55467,Avión 24,DESFASE DE 1300L A LA HORA DE CARGA DE COMBUSTIBLE,17
2023-07-14,49556,Avión 36,DIFERIDO CADUCADO EN HIL,17
2022-11-15,37815,Avión 36,DOS PARES DE CASCOS,17
2022-11-08,37552,Avión 31,EADI SEVERE BLINKING,17
2019-02-20,859,Avión 2,EVENT FOR A NETLINE DELAY  CANCELLATION,17
2020-09-25,10394,Avión 10,EVENT FOR A NETLINE DELAY  CANCELLATION,17
2023-07-14,49577,Avión 1,EXHAUST MODE FAULT,17
2021-06-14,15171,Avión 1,FALLO AUDIO 0644,17
2023-06-16,48043,Avión 28,FLAPS UNLK IN APPROACH,17
2021-10-04,19508,Avión 1,FO PITOT HTG FAULT DISPACHED ACC MEL ATA 30-30-1,17
2021-08-05,17207,Avión 31,FUEL LEVEL CHECK,17
2023-09-14,52957,Avión 10,FUERTE RUIDO EN BODEGA DELANTERA,17
2023-05-03,45826,Avión 4,FWD CARGO DOOR DOESNT WORK PROPERLY,17
2023-11-22,56494,Avión 1,HANDSET TCP Y APUNTE PTV DIFERIDO,17
2022-10-27,36973,Avión 36,HIDRAULIC POP UP OUT,17
2019-11-17,5619,Avión 13,INOPERATIVO AVERIA,17
2021-04-20,14019,Avión 25,INV 1 FAULT,17
2023-12-03,57044,Avión 19,JS INFORMA QUE HAN PARADO MOTORES,17
2021-08-08,19670,Avión 18,LATE RELEASE FROM SCH MAINT - TECHNICAL,17
2021-09-18,18848,Avión 32,LATE RELEASE FROM SCH MAINT - TECHNICAL,17
2022-11-05,37350,Avión 16,LATE RELEASE FROM SCH MAINT - TECHNICAL,17
2023-12-13,57538,Avión 19,LC,17
2024-06-23,67441,Avión 37,LC HAY QUE CARGAR EL AMORTIGUADOR DELANTERO,17
2023-12-07,57230,Avión 13,LC NO APUNTADA EN PTV,17
2019-06-28,2817,Avión 14,LIMITADO ACC MEL 33-41-1,17
