ID,Occurred,At,AC,Station,Headline,FlightNo,ATA,Minutos
19126,2021-09-25,14:39:00,Avión 18,PDQ,CHECK WHEELS 1 & 2,nan,32-41,36.0
19131,2021-09-25,19:11:00,Avión 16,nan,PAX DOOR MECHANISM DAMAGE,NT227,52-11,37.0
19145,2021-09-26,05:49:00,Avión 7,PIQ,QUITAR FUNDAS,nan,12-31,2.0
19147,2021-09-26,05:55:00,Avión 20,PDQ,LOW LEVEL DEL DEPOSITO DERECHO,nan,28-24,10.0
19150,2021-09-26,07:26:00,Avión 14,PDQ,STICK PUSHER/ SHAKER FAULT INTERMINENT,NT156,27-36,14.0
19154,2021-09-26,12:48:00,Avión 9,PDQ,EMER BAT TO EMER BUS ARROW LIGHT,NT913,24-31,78.0
19158,2021-09-26,13:53:00,Avión 14,PDQ,STICK PUSHER/ SHAKER FAULT INTERMINENT,NT156,27-36,159.0
19161,2021-09-26,15:52:00,Avión 2,PIQ,CARGO DOOR CAN NOT BE CLOSED,NT171,52-31,20.0
19191,2021-09-24,09:30:00,Avión 32,nan,FALLO FAP,NT9500,31-17,5.0
19193,2021-09-25,06:00:00,Avión 8,nan,RETIRADA DE PROTECCIONES,NT106,12-31,10.0
19194,2021-09-26,06:00:00,Avión 8,nan,SIN INFO,NT106,UNK,3.0
19195,2021-09-26,20:10:00,Avión 8,nan,INDICACION SVCE DOOR ABIERTA,NT485,52-42,8.0
19272,2021-09-29,08:15:00,Avión 8,nan,SVCE DOOR UNLK LIGHT,NT415,52-42,7.0
19274,2021-09-29,11:23:00,Avión 5,PIQ,INTERPHONE TCP PA U/S,NT674,23-43,18.0
19312,2021-09-30,06:01:00,Avión 8,nan,SERVICE DOOR UNLK INDICATOR,NT147,52-42,15.0
19319,2021-09-30,08:41:00,Avión 11,PDQ,AILERON LOCK LIT,NT500,27-70,56.0
19340,2021-09-30,16:51:00,Avión 4,PDQ,ACW GEN 1 FAULT,NT523,72-00,14.0
19368,2021-10-01,07:42:00,Avión 24,PIQ,EBAY SMK DET FAULT,NT153,26-15,57.0
19372,2021-10-01,09:59:00,Avión 19,PDQ,TRABAJOS PROGRAMADOS,nan,05-20,12.0
19381,2021-10-01,12:29:00,Avión 22,nan,RIGHT WING LIGHT IS OUT OF SERVICE,NT507,33-49,11.0
19382,2021-10-01,09:45:00,Avión 13,PDQ,AUX PUMP INOP - TMA DESPLAZADO,NT510,29-11,5.0
19393,2021-10-01,13:40:00,Avión 11,PDQ,CARGO DOOR PROBLEM,NT158,52-31,86.0
19400,2021-10-01,18:23:00,Avión 4,nan,LATERAL SUNVISOR CM-1 BROKEN,NT519,25-13,15.0
19427,2021-10-02,10:19:00,Avión 26,SMA,INSPECCION CENIZAS,nan,05-51,10.0
19430,2021-10-02,12:50:00,Avión 2,FLW,PROBLEMA CON PUERTA,nan,52-00,19.0
19436,2021-10-02,15:57:00,Avión 20,nan,NO INFO,nan,UNK,6.0
19437,2021-10-02,16:34:00,Avión 4,nan,FWD CARGO DOOR STRUT BROKEN,NT634,52-31,18.0
19452,2021-10-03,04:54:00,Avión 31,PIQ,ENG#2 ANTI-ICE PROBLEM,nan,30-21,22.0
19457,2021-10-03,05:41:00,Avión 7,PDQ,ENG#1 ENGINE OIL LEAK,NT235,79-00,73.0
19459,2021-10-03,06:03:00,Avión 21,PDQ,INV 2 FAULT,NT537,24-21,106.0
19461,2021-10-03,06:40:00,Avión 20,HOR,ENGIN 2 FEEDER TANK NOT FULL LEVEL INDICATION,NT534,28-42,7.0
19469,2021-10-03,09:14:00,Avión 16,PIQ,HYD LEAK MLG,NT608,29-00,51.0
19480,2021-10-03,14:18:00,Avión 5,nan,RIGHT SPOILER LIGHT DOESN`T TURN ON AT ANY TIME,NT913,27-61,75.0
19483,2021-10-03,14:59:00,Avión 20,nan,ENGIN 2 FEEDER TANK NOT FULL LEVEL INDICATION,NT534,28-42,120.0
19491,2021-10-03,13:30:00,Avión 1,PDQ,CAMBIO DE GRUPO,NT518,24-00,8.0
19495,2021-10-04,04:52:00,Avión 7,PDQ,LATE RELEASE FROM SCH MAINT - TECHNICAL,nan,05-20,41.0
19503,2021-10-04,07:45:00,Avión 20,PDQ,FUEL CHECK,NT203,12-11,5.0
19508,2021-10-04,08:44:00,Avión 1,PDQ,F/O PITOT HTG FAULT DISPACHED ACC MEL ATA 30-30-1,NT521,30-30,17.0
19516,2021-10-04,11:27:00,Avión 19,PIQ,NO INFO,nan,UNK,12.0
19536,2021-10-04,19:32:00,Avión 21,PDQ,NO MAINTENANCE ACTION - OPERATIONAL,nan,UNK,14.0
19561,2021-10-05,06:20:00,Avión 14,PIQ,PROBLEMAS CON ATPS,NT173,61-22,79.0
19567,2021-10-05,08:32:00,Avión 22,PDQ,ERROR ADC,nan,34-11,14.0
19570,2021-10-04,16:00:00,Avión 16,nan,QUITAR FUNDAS,NT311,12-31,6.0
19571,2021-10-05,09:04:00,Avión 14,PIQ,SE REPITE PROBLEMA ATPCS,NT415,73-23,83.0
19593,2021-10-05,15:22:00,Avión 4,nan,HYD POP OUT,NT519,29-00,3.0
19618,2021-10-06,07:09:00,Avión 18,PDQ,DIFERIDO  INCORRECTO,NT504,00-00,7.0
19646,2021-10-06,16:00:00,Avión 22,nan,ENTREGA TARDIA DE COMAT,NT169,08-00,3.0
19668,2021-10-07,06:50:00,Avión 9,PDQ,2 PTV: EHSI EFIS CM2 Y GROUND HANDLING BUS,NT200,34-71,24.0
19669,2021-09-22,09:00:00,Avión 14,nan,AVERIA DURANTE LA PUESTA EN MARCHA,nan,UNK,4.0
19670,2021-08-08,08:00:00,Avión 18,nan,LATE RELEASE FROM SCH MAINT - TECHNICAL,NT367,05-20,17.0
19672,2021-08-08,06:55:00,Avión 4,nan,AIRCRAFT DOCUMENTATION PROBLEM - OPERATIONAL,nan,00-00,8.0
19673,2021-08-13,06:30:00,Avión 13,nan,NOINFO,nan,UNK,2.0
19686,2021-10-07,13:23:00,Avión 7,PDQ,PROBLEMA PUERTA CARGO,NT147,52-31,5.0
19688,2021-10-07,14:36:00,Avión 20,PDQ,3 PTV,NT517,25-00,7.0
19721,2021-10-08,06:39:00,Avión 5,PDQ,AIL LOCK DURING BEFORE TAKE OFF PROCEDURE,nan,27-72,119.0
19725,2021-10-08,07:39:00,Avión 16,nan,NACELLE OVER HEAT,520,26-16,63.0
19736,2021-10-08,13:44:00,Avión 4,PDQ,AIRCRAFT DOCUMENTATION PROBLEM - OPERATIONAL,nan,00-00,6.0
19743,2021-10-08,16:31:00,Avión 30,PIQ,MOTOR NO ARRANCA,nan,80-00,5.0
19744,2021-10-08,16:37:00,Avión 20,nan,AIL LOCK LIT,NT517,27-11,10.0
19765,2021-10-09,08:36:00,Avión 4,PIQ,L/G RETRACCIÓN LEFT MAIN WHEEL 2 TIME RED LIGHT FLASH,NT656,32-49,3.0
19795,2021-10-09,15:30:00,Avión 20,PDQ,NO INFO,NT365,UNK,5.0
19804,2021-10-10,05:38:00,Avión 11,PIQ,COLCOAR BOTELLA O2,nan,35-31,6.0
19807,2021-10-10,05:58:00,Avión 18,PDQ,BASTON COLA Y FALLO PUESTA EN MARCHA,nan,25-71,7.0
19808,2021-10-10,06:35:00,Avión 21,PDQ,PROBLEMA PA,nan,23-31,3.0
19819,2021-10-10,10:51:00,Avión 5,nan,"""AIL LOCK"" DURING BEFORE T/O PROCEDURE",NT313,27-70,148.0
19831,2021-10-10,15:10:00,Avión 9,PDQ,PUERTA BODEGA NO CIERRA,nan,52-31,8.0
19832,2021-10-10,15:39:00,Avión 18,PDQ,AIRCRAFT DOCUMENTATION PROBLEM - OPERATIONAL,524,00-00,10.0
19837,2021-10-10,17:40:00,Avión 30,PIQ,INSPECCION CENIZAS,nan,05-51,10.0
19847,2021-10-09,17:40:00,Avión 12,nan,"EICAS: ""FLT CTRL NO DISPATCH"".",NT5151,27-00,3.0
19849,2021-10-10,21:14:00,Avión 5,nan,"""AIL LOCK"" DURING BEFORE T/O PROCEDURE",NT313,27-70,59.0
19875,2021-10-11,11:24:00,Avión 28,nan,RACK DOES NOT CLOSE,NT656,25-24,25.0
19892,2021-10-11,16:12:00,Avión 25,PDQ,FUGA HIDRAULICO,NT223,29-00,30.0
19894,2021-10-11,16:40:00,Avión 27,PIQ,INSPECCION CENIZAS,375,05-51,5.0
19896,2021-10-11,16:50:00,Avión 18,PDQ,TERR AND GPWS (TAWS) FAULT IN FLIGHT,219,34-48,21.0
19897,2021-10-11,17:18:00,Avión 5,PDQ,48248/D1,311,27-70,116.0
19898,2021-10-11,17:55:00,Avión 33,PIQ,INSPECCION CENIZAS,nan,05-51,47.0
19900,2021-10-11,18:07:00,Avión 28,PIQ,SOLICITUD DE ATL,nan,00-00,5.0
19931,2021-10-12,08:17:00,Avión 5,nan,AILERON LOCK,NT2P,27-70,35.0
19937,2021-10-12,10:38:00,Avión 5,nan,AIL LOCK,NT2P,27-70,26.0
19954,2021-10-12,12:05:00,Avión 18,PDQ,TERR AND GPWS (TAWS) FAULT IN FLIGHT,nan,34-48,5.0
19978,2021-10-12,19:30:00,Avión 1,HOR,SILBIDO EN CABINA,484,20-43,3.0
19999,2021-10-13,09:54:00,Avión 2,HOR,HIGH TEMPERATURE IN THE CABIN,NT591,21-31,158.0
20018,2021-10-13,14:46:00,Avión 25,PDQ,REFUELING ASYMETRY,NT160,28-25,17.0
20041,2021-10-14,06:28:00,Avión 1,PIQ,RETIRADA COVERS,NT655,12-31,7.0
20061,2021-10-14,12:57:00,Avión 9,nan,ARM REST SEAT 5D BROKEN,NT913,25-21,36.0
20126,2021-10-14,07:00:00,Avión 10,nan,NO INFO,NT102,UNK,3.0
20129,2021-10-15,06:42:00,Avión 2,PDQ,HIGH TEMP IN DUCT,NT205,21-61,10.0
20156,2021-10-15,17:29:00,Avión 31,PIQ,NO INFO,nan,UNK,6.0
20204,2021-10-16,23:04:00,Avión 15,nan,ENG 2 OIL SEAL FAULT,NT5151,75-26,151.0
20220,2021-10-17,12:05:00,Avión 11,PIQ,*INSPECCION CENIZAS + PUERTA BODEGA,NT469,05-51,34.0
20226,2021-10-17,13:01:00,Avión 25,PDQ,*INSPECCION CENIZAS + OIL LEAK,NT513,79-00,33.0
20227,2021-10-17,13:07:00,Avión 27,PIQ,INSPECCION CENIZAS,nan,05-51,30.0
20270,2021-10-18,03:20:00,Avión 4,PIQ,REQUERIMIENTO DE PRUEBA DE POTENCIA EN CABECERA,nan,05-20,281.0
20309,2021-10-18,08:45:00,Avión 18,PIQ,HOT BRAKES,NT651,32-42,40.0
20310,2021-10-18,08:54:00,Avión 32,PDQ,FLIGHT CONTROL NO DISPATCH,NT6821,34-11,5.0
20331,2021-10-18,14:40:00,Avión 10,PIQ,CHEK COWL FLAPS ENG Nº2,NT135,79-26,6.0
20344,2021-10-17,15:45:00,Avión 27,nan,NO INFO,nan,UNK,2.0
20387,2021-10-19,17:10:00,Avión 16,GRW,LOST OF ENGINE Nº2 POWER DURING TAKE OFF,NT653,72-01,100.0
20391,2021-10-19,18:26:00,Avión 7,PIQ,MASS WIRE BROKEN ON RUDDER,NT427,20-28,29.0
20445,2021-10-17,16:00:00,Avión 2,nan,PROBLEMAS CIERRE PUERTA BODEGA,nan,52-31,10.0
20447,2021-10-16,14:59:00,Avión 11,PIQ,CARGO DOOR INOP,NT471,52-31,35.0
20456,2021-10-21,04:00:00,Avión 31,PIQ,TCAS FAIL,NT429,34-43,42.0
20470,2021-10-21,07:38:00,Avión 11,PIQ,OXY MASK TCP 1 THE BAG IS OPEN,NT165,35-00,5.0
20501,2021-10-21,14:16:00,Avión 16,nan,ANTISKID WHEEL FAIL DURING TEST,NT1P,32-00,20.0
20502,2021-10-21,15:19:00,Avión 4,PIQ,COLOCAR BARRA,nan,25-00,3.0
20503,2021-10-21,15:34:00,Avión 1,nan,CARGO DOOR UNABLE TO OPEN,NT304,52-31,19.0
20524,2021-10-22,06:07:00,Avión 10,PIQ,BATERIA DESCARGADA,NT6341,24-31,28.0
20527,2021-10-22,06:38:00,Avión 16,PIQ,RETIRAR COVERS,NT183,10-10,1.0
20552,2021-10-22,13:08:00,Avión 32,nan,A/I ENG 1 FAIL,NT5431,73-00,16.0
20554,2021-10-22,13:09:00,Avión 6,PDQ,CAMBIO ENG2,NT5601,72-00,612.0
20560,2021-10-22,15:09:00,Avión 28,PDQ,PEDALES RUDDER DUROS,NT150,27-23,34.0
20563,2021-10-22,15:44:00,Avión 4,nan,DU Nº3 INOP,NT673,31-60,15.0
20576,2021-10-22,22:34:00,Avión 15,PDQ,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,nan,05-20,49.0
20587,2021-10-23,06:01:00,Avión 1,PDQ,OXIGEN MASK CM1 TEST,NT535,35-13,41.0
20609,2021-10-23,15:36:00,Avión 1,PDQ,CARGO DOOR UNABLE TO OPEN,NT304,52-31,17.0
20623,2021-10-24,07:50:00,Avión 2,PIQ,0100563/1,NT606,21-51,13.0
20639,2021-10-24,13:22:00,Avión 32,PDQ,FAK UNSEALED,5901,25-64,5.0
20647,2021-10-24,15:53:00,Avión 4,PDQ,HYDRAULIC STAIN LEFT FUSELAGE,NT166,12-12,4.0
20677,2021-10-25,11:27:00,Avión 25,HOR,TAKE OFF CONFIG WARNING DURING TAKE OFF INITIAL ROLL,NT530,27-00,33.0
20688,2021-10-25,13:31:00,Avión 26,nan,NO INFO,PM803,UNK,55.0
20689,2021-10-25,13:40:00,Avión 31,PDQ,SALIDA/EXIT SIGN OVER TCP 1 SEAT U/S,NT158,33-51,26.0
20700,2021-10-25,16:00:00,Avión 4,nan,NO INFO,NT170,UNK,6.0
20701,2021-10-25,20:41:00,Avión 25,PDQ,"MASTER WARNING ""CONFIG"" ALARM.",nan,27-00,52.0
20713,2021-10-26,06:24:00,Avión 3,PIQ,LATE RELEASE FROM SCH MAINT - TECHNICAL,nan,05-20,6.0
20727,2021-10-26,12:57:00,Avión 18,PDQ,CAPTAIN WIPER DOESN`T WORK PROPERLY NEED TO ADJUST,NT110,30-45,14.0
20744,2021-10-26,18:35:00,Avión 25,HOR,TAKE OFF CONFIG WARNING,NT530,27-00,178.0
20784,2021-10-27,15:06:00,Avión 23,PDQ,AVERIA PUERTA,nan,52-31,9.0
20817,2021-10-28,06:13:00,Avión 2,PDQ,OXYGEN BOTLE TCP1 PRESSURE LOW,nan,35-31,5.0
20824,2021-10-28,10:03:00,Avión 14,nan,INTERPHONE TCP1-TCP2 PROBLEM,NT237,23-44,2.0
20839,2021-10-28,13:30:00,Avión 9,PDQ,CHECK RESTOS ACEITE MOTOR 2,NT913,28-00,2.0
20876,2021-10-29,13:19:00,Avión 18,PDQ,GPWS-TERRAIN FAULT,nan,34-48,3.0
20881,2021-10-29,13:41:00,Avión 23,nan,SVCE DOOR DECOMPRESSION NOISE,NT640,52-00,9.0
20919,2021-10-30,12:40:00,Avión 11,PIQ,INTERPHONE U/S,NT4191,23-00,7.0
20926,2021-10-30,06:00:00,Avión 14,nan,CREW TIENE PROBLEMAS CON LA MEL,NT452,UNK,6.0
20939,2021-10-30,13:00:00,Avión 23,nan,PROBLEMA CARGA COMBUSTIBLE,NT639,12-11,5.0
20956,2021-10-31,12:12:00,Avión 12,PIQ,BIRDSTRIKE,NT5551,05-51,3.0
20965,2021-10-31,15:14:00,Avión 6,PDQ,EBAY SMK DET FAULT AFTER LANDING,nan,26-15,35.0
20967,2021-10-31,15:42:00,Avión 1,PIQ,CHECK NOSE WHEEL + INSP CENIZAS,NT632,32-40,33.0
20969,2021-10-31,16:26:00,Avión 27,PIQ,POP UP GREEN LINE,PM547,29-00,12.0
20992,2021-11-01,07:40:00,Avión 3,PDQ,2 PTV: LUZ LANDING/BRAKE WHEEL 3,NT205,32-42,40.0
20993,2021-11-01,08:19:00,Avión 21,PDQ,START 2 FAULT,nan,24-40,74.0
21000,2021-11-01,09:43:00,Avión 6,PDQ,SCC FLASHLIGHT DOESN´T MAKE THE TEST PROPERLY,NT5431,33-50,8.0
21002,2021-11-01,11:13:00,Avión 27,PIQ,INSPECCION CENIZAS,419,05-51,5.0
21013,2021-11-01,13:45:00,Avión 11,PIQ,NO INFO,470,UNK,5.0
21041,2021-11-02,08:36:00,Avión 10,PIQ,PROBLEMA PUERTA BODEGA,453,52-31,25.0
21151,2021-11-04,06:33:00,Avión 20,PDQ,BATTERY SWTICH ON AND AIRCRAFT NOT ENERGIZED,NT531,24-46,19.0
21189,2021-11-04,16:08:00,Avión 21,PDQ,AS SOON AS YOU PUSH START 2 THE GPU GOES DOWN,NT146,72-00,84.0
21190,2021-11-04,16:25:00,Avión 13,PDQ,ASIENTO PAX ROTO/MASA TREN ROTA,NT223,25-21,11.0
21238,2021-11-05,14:35:00,Avión 12,PDQ,FUEL CONTROL FAULT AFTER LANDING.,nan,28-00,5.0
21246,2021-11-05,16:23:00,Avión 30,PIQ,617069/1,PM547,34-71,47.0
21253,2021-11-05,19:18:00,Avión 23,PDQ,TLB 52823 D1,NT533,53-67,173.0
21281,2021-11-04,12:20:00,Avión 1,nan,NO INFO,NT657,UNK,3.0
21283,2021-11-06,10:45:00,Avión 16,CVU,54759/1,NT81,21-31,161.0
21295,2021-11-05,09:30:00,Avión 25,nan,NO INFO,NT590,UNK,2.0
21315,2021-11-07,06:38:00,Avión 16,nan,54762/1,NT106,33-51,153.0
21319,2021-11-07,07:46:00,Avión 31,PIQ,54602/1,NT636,24-32,33.0
21359,2021-11-08,06:18:00,Avión 14,PDQ,FUEL CLOG ENG #2,NT527,72-01,18.0
21419,2021-11-09,07:34:00,Avión 1,PIQ,LUCES,NT655,33-00,3.0
21423,2021-11-09,09:26:00,Avión 14,PIQ,MC CANCEL FUNCTION CM2 DOESN`T WORK PROPERLY,NT119,31-19,4.0
21438,2021-11-09,15:16:00,Avión 18,nan,BLEED FAULT,NT511,36-00,9.0
21457,2021-11-10,04:52:00,Avión 7,PDQ,THE RUDDER IS VERY HARD,nan,27-21,234.0
21499,2021-11-10,21:27:00,Avión 18,PDQ,53847/D1,nan,52-11,33.0
21516,2021-11-11,11:20:00,Avión 27,PIQ,INSPECCION CENIZAS,PM419,05-51,10.0
21558,2021-11-12,11:31:00,Avión 26,PIQ,INSPECCION CENIZAS,PM419,05-51,6.0
21563,2021-11-12,14:01:00,Avión 9,PDQ,AILERON LOCK,NT217,27-70,177.0
21572,2021-11-12,16:32:00,Avión 2,PIQ,PROBLEMAS CON PUERTA DE BODEGA + INSPECCION CENIZAS,NT634,52-31,7.0
21573,2021-11-12,16:45:00,Avión 4,PIQ,FUGA HYD,NT664,29-00,65.0
21581,2021-11-12,21:25:00,Avión 31,PDQ,DADC FAIL,NT157,34-11,120.0
21585,2021-11-12,22:15:00,Avión 9,PDQ,3 PTV: VHF BUTTON / SMOKE GOOGLES / SOAP HOLDER,NT235,23-51,28.0
21594,2021-11-13,07:01:00,Avión 30,PDQ,NO INFO,nan,UNK,155.0
21596,2021-11-13,08:23:00,Avión 18,PDQ,WASTE BIN RUBBER,NT188,25-45,3.0
21600,2021-11-13,10:24:00,Avión 12,PDQ,PRESSURIZATION DOESN`T WORK PROPERLY AFTER APU START.,NT106,21-31,118.0
21616,2021-11-13,14:52:00,Avión 12,PDQ,COLOCAR PLACA,NT5700,11-00,4.0
21618,2021-11-13,16:06:00,Avión 21,nan,DU 5 FAILURE AURING ENGINE START,NT166,31-60,46.0
21619,2021-11-13,16:16:00,Avión 19,PIQ,A.P DISCONNECTED DURING CRUSE,NT471,22-16,6.0
21645,2021-11-14,11:39:00,Avión 27,PIQ,INSPECCION CENIZAS,PM419,05-51,16.0
21649,2021-11-14,13:44:00,Avión 4,PIQ,CAMBIO ASIENTO CM1,NT628,25-11,20.0
21660,2021-11-14,18:47:00,Avión 25,PIQ,ENG 1 TQ POINTER INOP,NT475,77-00,103.0
21663,2021-11-14,20:20:00,Avión 9,PIQ,BIRD STRIKE,NT175,05-51,12.0
21674,2021-11-15,06:21:00,Avión 15,PDQ,ENG #1 SHORT DISPATCH,nan,77-20,131.0
21684,2021-11-13,16:05:00,Avión 5,nan,PLASTIC COVER PAX DOOR BROKEN,NT943,52-00,7.0
21695,2021-11-15,13:51:00,Avión 32,PDQ,ENG1 FAN BLADE PROTECTON SEPARATING,nan,72-11,30.0
21732,2021-11-16,08:10:00,Avión 5,PDQ,NP ENGINE N1 100% ALL TIME,NT102,61-21,5.0
21787,2021-10-11,14:45:00,Avión 7,nan,NO INFO,NT664,UNK,9.0
21788,2021-10-17,20:00:00,Avión 19,nan,NO INFO,nan,UNK,29.0
21831,2021-11-18,07:29:00,Avión 16,PIQ,INVERTER Nº2 FAULT,NT429,24-21,13.0
21840,2021-11-18,10:48:00,Avión 30,PIQ,BIRDSTRIKE - ENVIRONMENTAL,PM418,05-51,87.0
21910,2021-11-19,14:00:00,Avión 32,nan,DU 2 INOP,nan,31-00,71.0
21915,2021-11-19,14:31:00,Avión 15,PDQ,FUEL FEED 2 FAULT.,nan,73-00,46.0
21916,2021-11-19,12:20:00,Avión 1,nan,RETIRADA COVERS,NT657,12-31,9.0
22018,2021-11-21,11:01:00,Avión 15,VGO,FUEL PUMP PROBLEM,NT5230,28-00,15.0
22032,2021-11-21,16:03:00,Avión 31,PIQ,CHECKEAR BPCU,nan,24-00,8.0
22055,2021-11-22,07:41:00,Avión 1,PDQ,GPS1 FAULT  / XDR 2 FAULT,NT205,34-58,11.0
22061,2021-11-22,10:13:00,Avión 15,nan,DAÑO MOTOR DERECHO,NT5231,72-21,15.0
22063,2021-11-22,11:28:00,Avión 14,PDQ,`START FAULT´ DURING START,NT535,24-32,51.0
22075,2021-11-22,18:55:00,Avión 9,nan,TRAY SUPPORT SEAT 19D BROKEN,nan,25-00,3.0
22096,2021-11-23,11:05:00,Avión 24,PDQ,FUEL FEED 2 FAULT,NT6605,28-21,39.0
22129,2021-11-24,08:02:00,Avión 1,PIQ,GPS 1 FAULT,NT103,34-58,18.0
22131,2021-11-24,09:20:00,Avión 1,PDQ,PROBLEMAS PUERTA BODEGA,NT104,52-31,7.0
22141,2021-11-24,15:29:00,Avión 20,PDQ,TERR FAULT,nan,34-48,20.0
22159,2021-11-25,06:37:00,Avión 20,PDQ,HYD PRESS U/S. (AUX),NT537,12-14,10.0
22180,2021-11-25,18:22:00,Avión 22,PDQ,BPCU FAULT,NT523,24-46,45.0
22181,2021-11-25,18:43:00,Avión 5,PIQ,OVERHEAD PANEL LIGHT,NT173,33-10,23.0
22186,2021-11-25,14:45:00,Avión 31,PDQ,M.L.G WHEEL TIRE #3 WITH ONE DEEP CUT,NT104,12-37,4.0
22209,2021-11-26,13:48:00,Avión 1,PDQ,OSCILATIONS IN ITT OF AROUND 12ºC,NT517,36-11,33.0
22220,2021-11-26,16:15:00,Avión 14,PIQ,BLEED 1 FAULT,NT433,36-11,37.0
22221,2021-11-26,16:21:00,Avión 20,PIQ,LINE CHECK NO ASENTADA EN LIBRO,426,00-00,8.0
22254,2021-11-27,10:49:00,Avión 11,PDQ,AIL LOCK LIT ALERT,NT237,27-70,89.0
22258,2021-11-27,13:43:00,Avión 3,PDQ,PERDIDA COMM CM1 CM2,NT207,23-43,7.0
22267,2021-11-27,15:01:00,Avión 20,PIQ,"SE REPITE, LINE CHECK NO ASENTADA EN LIBRO",147,00-00,11.0
22272,2021-11-27,17:38:00,Avión 4,PDQ,CHECK O2 PRESSURE (TCP BOTTLE),NT178,35-31,9.0
22299,2021-11-28,11:52:00,Avión 14,PIQ,AIR BLEED 1 FAULT,NT612,36-11,29.0
22327,2021-11-28,19:41:00,Avión 23,PDQ,SPOILER LIGHT REMAINS ILUMINATED,NT186,27-61,12.0
22340,2021-11-29,07:08:00,Avión 6,PDQ,IDG 1 OFF BUS,nan,24-21,35.0
22341,2021-11-29,07:26:00,Avión 18,PDQ,BLEED 2 FAULT WITH A BURNING SMELL.,nan,36-11,124.0
22342,2021-11-29,07:38:00,Avión 22,PDQ,PROBLEMAS CONEXION GPU,nan,24-00,10.0
22394,2021-11-30,06:42:00,Avión 18,PDQ,PASSNGER DOOR OT OF ORDER,NT190,52-11,141.0
22398,2021-11-30,09:04:00,Avión 21,PDQ,4 PTV: TCP2 SEAT/DOOR HANDLE/GPWS/DEMO LIFE JACKET,NT501,25-21,0.0
22441,2021-12-01,07:21:00,Avión 32,PDQ,PROBLEMAS PRESURIZACION,6504,21-30,20.0
22442,2021-12-01,07:24:00,Avión 14,PDQ,CAP OF THE EXTINGUISHER BROKEN,NT205,25-00,4.0
22443,2021-12-01,07:55:00,Avión 20,PDQ,CAJA EQUIPO PROTECCION DESPRECINTADA,504,UNK,16.0
22463,2021-12-01,14:41:00,Avión 8,PDQ,FUEL LEAK ON ENG 1# ON OUTER INSPECTION.,nan,73-14,30.0
22470,2021-12-01,19:03:00,Avión 33,PIQ,INSPECCIÓN CENIZAS,PM455,05-51,22.0
22475,2021-12-01,22:20:00,Avión 19,PIQ,RETRASO SIN ACCION DE MTTO,nan,UNK,1.0
22481,2021-12-02,04:14:00,Avión 6,PDQ,CVR FWD FAIL,nan,31-31,145.0
22540,2021-12-03,10:05:00,Avión 16,PDQ,PROBLEMA CARGO DOOR,313,52-31,6.0
22595,2021-12-04,08:20:00,Avión 25,PDQ,PROBLEMAS CON LA PUESTA EN MARCHA,236,23-12,15.0
22599,2021-12-04,09:39:00,Avión 33,PIQ,PROBLEMAS CON MASCARILLA DE OXIGENO,418,35-12,222.0
22622,2021-12-04,17:05:00,Avión 31,PDQ,STICK SHACKER/PUSHER FAULT IN FLIGHT IN AND OUT.,nan,27-36,37.0
22656,2021-12-05,15:27:00,Avión 9,PDQ,NO ENCIENDE AVION,nan,UNK,5.0
22664,2021-12-05,19:20:00,Avión 24,VIT,NOINFO,NT5861,UNK,3.0
22739,2021-12-07,09:19:00,Avión 27,PIQ,PROBLEMAS PRUEBA POTENCIA,nan,UNK,388.0
22758,2021-12-07,14:07:00,Avión 1,PIQ,ATL REQUEST Y RETORADA COVERS,NT663,00-00,23.0
22765,2021-12-07,14:50:00,Avión 11,PDQ,EXTINTOR DE AGUA NO SE VE LA FECHA,NT5201,26-00,14.0
22794,2021-12-08,06:43:00,Avión 2,PDQ,GPS 1 FAULT,NT500,34-58,7.0
22807,2021-12-08,11:33:00,Avión 13,PDQ,EMBELLECEDOR ASIENTOS DIFICULTA PASO,NT591,25-21,4.0
22815,2021-12-08,12:57:00,Avión 34,PDQ,STRONG NOISE ON VHF 1,NT5071,23-00,11.0
22821,2021-12-08,14:06:00,Avión 2,PIQ,CARGO DOOR CLOSE PROBLEM,NT158,52-31,5.0
22822,2021-12-08,14:08:00,Avión 4,PIQ,TRU HALF LIGHT INOP,NT658,20-45,9.0
22830,2021-12-08,15:54:00,Avión 14,PDQ,CM1 COMM VOX DOESNT TRANSMIT VIA PTT,NT221,23-00,30.0
22838,2021-12-08,17:22:00,Avión 31,PDQ,PROBLEMAS SISTEMA ELECTRICO,NT3591,24-00,12.0
22852,2021-12-09,05:03:00,Avión 8,PDQ,WP: PUERTA SERVICIO CAIDA,nan,05-20,14.0
22932,2021-12-10,14:13:00,Avión 14,PDQ,FALLO RECIRCULATION FAN,NT517,21-00,9.0
22935,2021-12-10,14:23:00,Avión 28,PDQ,CHECK STATUS BREAK STICK WHEEL #3,NT158,32-42,18.0
22940,2021-12-10,15:43:00,Avión 20,PDQ,2 PTV: MAT & COCKPIT COVER,NT160,20-21,15.0
22943,2021-12-10,16:14:00,Avión 32,PDQ,WP: DIF DU AGM,nan,05-20,198.0
22975,2021-12-11,08:37:00,Avión 3,PIQ,CM2 AUDIO SEC FAULT,NT658,23-51,12.0
23049,2021-12-12,23:22:00,Avión 22,PDQ,BRAKER PITOT PERO ADEMAS FALLA ALPHA Y TAT,nan,30-30,47.0
